2025-02-26 22:15:20 INFO     Generating Simulations...
2025-02-26 22:15:27 INFO     [83, 1, 0.3706049919128418]
2025-02-26 22:15:27 INFO     Update learning rate: 0.007350918906249998
2025-02-26 22:15:27 INFO     [84, 1, 0.12939785420894623]
2025-02-26 22:15:27 INFO     [84, 1, 0.3984391987323761]
2025-02-26 22:15:27 INFO     Update learning rate: 0.007350918906249998
2025-02-26 22:15:27 INFO     [85, 1, 0.5004422664642334]
2025-02-26 22:15:27 INFO     [85, 1, 0.4487549066543579]
2025-02-26 22:15:27 INFO     Update learning rate: 0.007350918906249998
2025-02-26 22:15:27 INFO     [86, 1, 0.6004579663276672]
2025-02-26 22:15:27 INFO     [86, 1, 0.32976776361465454]
2025-02-26 22:15:27 INFO     Update learning rate: 0.007350918906249998
2025-02-26 22:15:27 INFO     [87, 1, 0.1691875159740448]
2025-02-26 22:15:27 INFO     [87, 1, 0.4379080832004547]
2025-02-26 22:15:27 INFO     Update learning rate: 0.007350918906249998
2025-02-26 22:15:27 INFO     [88, 1, 0.14567707479000092]
2025-02-26 22:15:27 INFO     [88, 1, 0.3217790722846985]
2025-02-26 22:15:27 INFO     Update learning rate: 0.007350918906249998
2025-02-26 22:15:27 INFO     [89, 1, 0.2665499448776245]
2025-02-26 22:15:27 INFO     [89, 1, 0.403830349445343]
2025-02-26 22:15:27 INFO     Update learning rate: 0.007350918906249998
2025-02-26 22:15:28 INFO     [90, 1, 0.4829481244087219]
2025-02-26 22:15:28 INFO     [90, 1, 0.4064021408557892]
2025-02-26 22:15:28 INFO     Update learning rate: 0.007350918906249998
2025-02-26 22:15:28 INFO     [91, 1, 4.995393753051758]
2025-02-26 22:15:28 INFO     [91, 1, 0.41024553775787354]
2025-02-26 22:15:28 INFO     Update learning rate: 0.007350918906249998
2025-02-26 22:15:28 INFO     [92, 1, 1.2086623907089233]
2025-02-26 22:15:28 INFO     [92, 1, 0.6512197256088257]
2025-02-26 22:15:28 INFO     Update learning rate: 0.007350918906249998
2025-02-26 22:15:28 INFO     [93, 1, 0.6626729369163513]
2025-02-26 22:15:28 INFO     [93, 1, 0.9708349108695984]
2025-02-26 22:15:28 INFO     Update learning rate: 0.006983372960937498
2025-02-26 22:15:28 INFO     [94, 1, 37.0775146484375]
2025-02-26 22:15:28 INFO     [94, 1, 1.3541820049285889]
2025-02-26 22:15:28 INFO     Update learning rate: 0.006983372960937498
2025-02-26 22:15:28 INFO     [95, 1, 1.6034730672836304]
2025-02-26 22:15:28 INFO     [95, 1, 3.9982972145080566]
2025-02-26 22:15:28 INFO     Update learning rate: 0.006983372960937498
2025-02-26 22:15:28 INFO     [96, 1, 4.326014041900635]
2025-02-26 22:15:28 INFO     [96, 1, 2.5801048278808594]
2025-02-26 22:15:28 INFO     Update learning rate: 0.006983372960937498
2025-02-26 22:15:28 INFO     [97, 1, 8.555099487304688]
2025-02-26 22:15:28 INFO     [97, 1, 2.8632593154907227]
2025-02-26 22:15:28 INFO     Update learning rate: 0.006983372960937498
2025-02-26 22:15:28 INFO     [98, 1, 0.8323258757591248]
2025-02-26 22:15:28 INFO     [98, 1, 0.49933290481567383]
2025-02-26 22:15:28 INFO     Update learning rate: 0.006983372960937498
2025-02-26 22:15:28 INFO     [99, 1, 0.4618138074874878]
2025-02-26 22:15:28 INFO     [99, 1, 0.9645565152168274]
2025-02-26 22:15:28 INFO     Update learning rate: 0.006983372960937498
